close,date,high,low,oi,open,symbol,time,volume
60.6,2020-01-03,61.0,59.2,410560.0,59.5,BANKNIFTY09JAN2031500PE,11:57:00,12660
60.25,2020-01-03,61.45,59.05,410560.0,61.45,BANKNIFTY09JAN2031500PE,11:58:00,14860
60.1,2020-01-03,61.0,59.75,410540.0,60.25,BANKNIFTY09JAN2031500PE,11:59:00,5380
63.75,2020-01-03,64.15,59.55,410540.0,60.0,BANKNIFTY09JAN2031500PE,12:00:00,30920
61.4,2020-01-03,64.0,61.4,410540.0,63.85,BANKNIFTY09JAN2031500PE,12:01:00,26760
60.3,2020-01-03,62.15,60.2,412200.0,61.4,BANKNIFTY09JAN2031500PE,12:02:00,14520
60.5,2020-01-03,60.9,59.5,412200.0,60.2,BANKNIFTY09JAN2031500PE,12:03:00,12780
61.0,2020-01-03,61.8,60.5,412200.0,60.5,BANKNIFTY09JAN2031500PE,12:04:00,7920
60.45,2020-01-03,61.5,60.4,418420.0,60.95,BANKNIFTY09JAN2031500PE,12:05:00,5160
60.0,2020-01-03,60.7,59.7,418420.0,60.0,BANKNIFTY09JAN2031500PE,12:06:00,13160
59.35,2020-01-03,60.4,59.35,418420.0,60.0,BANKNIFTY09JAN2031500PE,12:07:00,4920
58.55,2020-01-03,60.0,58.1,417380.0,59.2,BANKNIFTY09JAN2031500PE,12:08:00,9040
59.8,2020-01-03,60.05,58.2,417380.0,58.2,BANKNIFTY09JAN2031500PE,12:09:00,4240
59.4,2020-01-03,59.9,58.85,417380.0,59.8,BANKNIFTY09JAN2031500PE,12:10:00,6920
58.95,2020-01-03,59.45,57.2,416340.0,59.0,BANKNIFTY09JAN2031500PE,12:11:00,11880
60.6,2020-01-03,60.85,58.9,416340.0,58.95,BANKNIFTY09JAN2031500PE,12:12:00,5140
60.05,2020-01-03,60.65,60.0,416340.0,60.6,BANKNIFTY09JAN2031500PE,12:13:00,4300
59.65,2020-01-03,60.5,59.65,415980.0,60.25,BANKNIFTY09JAN2031500PE,12:14:00,2700
61.15,2020-01-03,62.95,59.2,415980.0,59.2,BANKNIFTY09JAN2031500PE,12:15:00,19880
63.9,2020-01-03,64.0,61.25,415980.0,61.25,BANKNIFTY09JAN2031500PE,12:16:00,22280
62.6,2020-01-03,63.8,61.65,415280.0,63.75,BANKNIFTY09JAN2031500PE,12:17:00,24980
63.3,2020-01-03,63.7,62.2,415280.0,62.7,BANKNIFTY09JAN2031500PE,12:18:00,20020
66.0,2020-01-03,66.95,63.55,415280.0,63.55,BANKNIFTY09JAN2031500PE,12:19:00,39840
65.3,2020-01-03,68.15,65.0,404220.0,66.15,BANKNIFTY09JAN2031500PE,12:20:00,30180
64.45,2020-01-03,65.7,63.3,404220.0,65.3,BANKNIFTY09JAN2031500PE,12:21:00,12900
62.7,2020-01-03,64.45,62.7,404220.0,64.45,BANKNIFTY09JAN2031500PE,12:22:00,13240
61.4,2020-01-03,62.9,60.5,400400.0,62.5,BANKNIFTY09JAN2031500PE,12:23:00,10020
61.5,2020-01-03,62.25,60.45,400400.0,61.4,BANKNIFTY09JAN2031500PE,12:24:00,18220
64.35,2020-01-03,64.95,61.05,400400.0,61.5,BANKNIFTY09JAN2031500PE,12:25:00,14480
61.7,2020-01-03,64.35,61.7,405580.0,64.35,BANKNIFTY09JAN2031500PE,12:26:00,11380
62.25,2020-01-03,62.6,60.3,405580.0,61.7,BANKNIFTY09JAN2031500PE,12:27:00,11780
61.4,2020-01-03,62.3,60.5,405580.0,62.25,BANKNIFTY09JAN2031500PE,12:28:00,4340
61.25,2020-01-03,61.5,59.2,410820.0,61.4,BANKNIFTY09JAN2031500PE,12:29:00,12020
62.75,2020-01-03,62.75,60.75,410820.0,61.25,BANKNIFTY09JAN2031500PE,12:30:00,9000
62.55,2020-01-03,63.35,62.05,410820.0,62.75,BANKNIFTY09JAN2031500PE,12:31:00,7140
63.7,2020-01-03,63.9,61.85,412940.0,61.85,BANKNIFTY09JAN2031500PE,12:32:00,6320
63.3,2020-01-03,65.0,63.3,412940.0,64.35,BANKNIFTY09JAN2031500PE,12:33:00,9100
64.35,2020-01-03,64.55,63.0,412940.0,63.3,BANKNIFTY09JAN2031500PE,12:34:00,2840
64.6,2020-01-03,66.0,64.15,418740.0,64.35,BANKNIFTY09JAN2031500PE,12:35:00,11700
64.0,2020-01-03,64.9,62.95,418740.0,64.6,BANKNIFTY09JAN2031500PE,12:36:00,7880
62.9,2020-01-03,64.15,62.45,418740.0,64.0,BANKNIFTY09JAN2031500PE,12:37:00,8040
62.8,2020-01-03,62.95,62.4,403380.0,62.9,BANKNIFTY09JAN2031500PE,12:38:00,2520
61.8,2020-01-03,63.65,61.8,403380.0,62.8,BANKNIFTY09JAN2031500PE,12:39:00,19520
61.4,2020-01-03,62.45,60.5,403380.0,61.8,BANKNIFTY09JAN2031500PE,12:40:00,7060
58.9,2020-01-03,61.6,57.25,413240.0,61.5,BANKNIFTY09JAN2031500PE,12:41:00,17280
58.7,2020-01-03,59.9,58.2,413240.0,59.0,BANKNIFTY09JAN2031500PE,12:42:00,6180
59.45,2020-01-03,59.65,57.75,413240.0,58.25,BANKNIFTY09JAN2031500PE,12:43:00,11560
56.75,2020-01-03,59.35,56.7,413140.0,59.0,BANKNIFTY09JAN2031500PE,12:44:00,16740
58.9,2020-01-03,58.9,56.3,413140.0,56.7,BANKNIFTY09JAN2031500PE,12:45:00,20620
58.25,2020-01-03,59.2,58.15,413140.0,58.85,BANKNIFTY09JAN2031500PE,12:46:00,4780
58.5,2020-01-03,59.15,58.3,412580.0,58.4,BANKNIFTY09JAN2031500PE,12:47:00,7500
58.65,2020-01-03,59.05,58.5,412580.0,58.5,BANKNIFTY09JAN2031500PE,12:48:00,3600
59.0,2020-01-03,59.35,58.0,412580.0,58.75,BANKNIFTY09JAN2031500PE,12:49:00,11160
59.7,2020-01-03,59.7,58.6,416020.0,59.0,BANKNIFTY09JAN2031500PE,12:50:00,1380
59.5,2020-01-03,60.25,59.2,416020.0,59.25,BANKNIFTY09JAN2031500PE,12:51:00,4280
58.1,2020-01-03,59.5,56.25,416020.0,59.5,BANKNIFTY09JAN2031500PE,12:52:00,15560
59.0,2020-01-03,59.1,57.9,415300.0,58.1,BANKNIFTY09JAN2031500PE,12:53:00,5220
59.0,2020-01-03,59.7,58.6,415300.0,59.0,BANKNIFTY09JAN2031500PE,12:54:00,5260
61.55,2020-01-03,61.55,59.0,415300.0,59.0,BANKNIFTY09JAN2031500PE,12:55:00,7020
63.05,2020-01-03,63.05,60.8,418180.0,61.8,BANKNIFTY09JAN2031500PE,12:56:00,11020
60.7,2020-01-03,63.2,60.2,418180.0,62.75,BANKNIFTY09JAN2031500PE,12:57:00,7860
61.6,2020-01-03,61.6,60.45,418180.0,60.7,BANKNIFTY09JAN2031500PE,12:58:00,10360
61.0,2020-01-03,61.5,60.2,418840.0,61.15,BANKNIFTY09JAN2031500PE,12:59:00,5940
59.1,2020-01-03,61.1,59.1,418840.0,60.55,BANKNIFTY09JAN2031500PE,13:00:00,4200
61.4,2020-01-03,61.4,59.1,418840.0,59.1,BANKNIFTY09JAN2031500PE,13:01:00,7320
59.55,2020-01-03,61.45,59.55,417240.0,61.4,BANKNIFTY09JAN2031500PE,13:02:00,2600
61.45,2020-01-03,61.5,59.95,417240.0,60.15,BANKNIFTY09JAN2031500PE,13:03:00,4400
60.5,2020-01-03,61.35,60.2,417240.0,60.95,BANKNIFTY09JAN2031500PE,13:04:00,2980
55.85,2020-01-03,60.5,55.85,421760.0,60.5,BANKNIFTY09JAN2031500PE,13:05:00,17080
54.7,2020-01-03,56.65,53.6,421760.0,55.25,BANKNIFTY09JAN2031500PE,13:06:00,30940
56.0,2020-01-03,56.85,55.0,421760.0,55.05,BANKNIFTY09JAN2031500PE,13:07:00,7440
56.75,2020-01-03,56.95,55.25,418680.0,56.0,BANKNIFTY09JAN2031500PE,13:08:00,11620
55.2,2020-01-03,57.2,54.85,418680.0,56.75,BANKNIFTY09JAN2031500PE,13:09:00,8160
54.9,2020-01-03,55.65,53.25,418680.0,55.35,BANKNIFTY09JAN2031500PE,13:10:00,15180
55.25,2020-01-03,55.65,53.65,420560.0,54.7,BANKNIFTY09JAN2031500PE,13:11:00,9340
55.8,2020-01-03,56.0,54.9,420560.0,55.0,BANKNIFTY09JAN2031500PE,13:12:00,11620
56.0,2020-01-03,56.6,55.3,420560.0,55.8,BANKNIFTY09JAN2031500PE,13:13:00,16840
56.0,2020-01-03,56.15,54.7,428980.0,56.15,BANKNIFTY09JAN2031500PE,13:14:00,7840
54.45,2020-01-03,56.3,54.45,428980.0,56.3,BANKNIFTY09JAN2031500PE,13:15:00,8680
56.65,2020-01-03,57.0,54.75,428980.0,54.85,BANKNIFTY09JAN2031500PE,13:16:00,7640
57.75,2020-01-03,57.75,56.5,429760.0,56.65,BANKNIFTY09JAN2031500PE,13:17:00,3880
60.95,2020-01-03,60.95,57.15,429760.0,57.75,BANKNIFTY09JAN2031500PE,13:18:00,26320
59.5,2020-01-03,61.55,59.5,429760.0,60.5,BANKNIFTY09JAN2031500PE,13:19:00,11440
59.65,2020-01-03,60.2,58.45,423100.0,59.5,BANKNIFTY09JAN2031500PE,13:20:00,5580
59.1,2020-01-03,60.9,58.7,423100.0,60.05,BANKNIFTY09JAN2031500PE,13:21:00,5800
58.7,2020-01-03,59.85,58.5,423100.0,59.1,BANKNIFTY09JAN2031500PE,13:22:00,4740
58.7,2020-01-03,60.15,56.25,423100.0,58.7,BANKNIFTY09JAN2031500PE,13:23:00,6480
59.55,2020-01-03,60.45,58.15,424200.0,58.7,BANKNIFTY09JAN2031500PE,13:24:00,6360
58.75,2020-01-03,59.6,58.45,424200.0,59.55,BANKNIFTY09JAN2031500PE,13:25:00,4460
57.35,2020-01-03,58.8,57.0,424200.0,58.75,BANKNIFTY09JAN2031500PE,13:26:00,8100
57.95,2020-01-03,59.35,57.35,429140.0,57.35,BANKNIFTY09JAN2031500PE,13:27:00,3780
58.7,2020-01-03,59.15,57.95,429140.0,58.25,BANKNIFTY09JAN2031500PE,13:28:00,2260
58.95,2020-01-03,59.0,58.35,429140.0,58.7,BANKNIFTY09JAN2031500PE,13:29:00,2400
60.95,2020-01-03,61.2,58.5,426700.0,58.5,BANKNIFTY09JAN2031500PE,13:30:00,15500
61.0,2020-01-03,61.6,60.3,426700.0,60.95,BANKNIFTY09JAN2031500PE,13:31:00,6120
59.8,2020-01-03,62.9,59.8,426700.0,60.35,BANKNIFTY09JAN2031500PE,13:32:00,22180
59.25,2020-01-03,60.35,58.6,424080.0,59.8,BANKNIFTY09JAN2031500PE,13:33:00,6700
58.5,2020-01-03,59.25,57.75,424080.0,59.25,BANKNIFTY09JAN2031500PE,13:34:00,10600
57.85,2020-01-03,58.7,57.5,424080.0,58.5,BANKNIFTY09JAN2031500PE,13:35:00,8500
58.15,2020-01-03,58.4,56.85,424880.0,57.75,BANKNIFTY09JAN2031500PE,13:36:00,4620
59.1,2020-01-03,59.3,58.0,424880.0,59.0,BANKNIFTY09JAN2031500PE,13:37:00,2920
58.65,2020-01-03,59.3,58.25,424880.0,59.1,BANKNIFTY09JAN2031500PE,13:38:00,4360
56.6,2020-01-03,59.1,56.6,424860.0,58.65,BANKNIFTY09JAN2031500PE,13:39:00,9300
57.5,2020-01-03,58.55,56.75,424860.0,56.75,BANKNIFTY09JAN2031500PE,13:40:00,6860
56.75,2020-01-03,58.5,56.65,424860.0,57.5,BANKNIFTY09JAN2031500PE,13:41:00,8700
58.1,2020-01-03,58.1,56.75,426260.0,56.75,BANKNIFTY09JAN2031500PE,13:42:00,2640
57.8,2020-01-03,58.35,57.8,426260.0,58.1,BANKNIFTY09JAN2031500PE,13:43:00,2160
59.05,2020-01-03,59.7,57.8,426260.0,57.8,BANKNIFTY09JAN2031500PE,13:44:00,13540
59.5,2020-01-03,60.4,58.95,425680.0,59.05,BANKNIFTY09JAN2031500PE,13:45:00,8440
59.15,2020-01-03,60.15,59.1,425680.0,59.5,BANKNIFTY09JAN2031500PE,13:46:00,10140
60.9,2020-01-03,60.9,58.75,425680.0,59.0,BANKNIFTY09JAN2031500PE,13:47:00,19780
60.9,2020-01-03,61.7,60.55,427380.0,61.65,BANKNIFTY09JAN2031500PE,13:48:00,24140
59.75,2020-01-03,61.05,58.75,427380.0,60.5,BANKNIFTY09JAN2031500PE,13:49:00,8340
60.55,2020-01-03,60.55,58.5,427380.0,59.75,BANKNIFTY09JAN2031500PE,13:50:00,5480
59.85,2020-01-03,61.1,59.5,433560.0,60.55,BANKNIFTY09JAN2031500PE,13:51:00,6180
60.0,2020-01-03,60.3,59.45,433560.0,60.0,BANKNIFTY09JAN2031500PE,13:52:00,6160
60.6,2020-01-03,61.55,59.5,433560.0,60.0,BANKNIFTY09JAN2031500PE,13:53:00,4580
60.9,2020-01-03,61.7,60.45,435120.0,60.6,BANKNIFTY09JAN2031500PE,13:54:00,5060
58.5,2020-01-03,61.25,58.35,435120.0,60.9,BANKNIFTY09JAN2031500PE,13:55:00,11220
58.5,2020-01-03,58.9,58.05,435120.0,58.5,BANKNIFTY09JAN2031500PE,13:56:00,9660
57.5,2020-01-03,58.8,56.3,435440.0,58.8,BANKNIFTY09JAN2031500PE,13:57:00,13620
59.1,2020-01-03,59.3,57.5,435440.0,57.5,BANKNIFTY09JAN2031500PE,13:58:00,5480
58.45,2020-01-03,59.1,58.2,435440.0,59.1,BANKNIFTY09JAN2031500PE,13:59:00,4180
58.75,2020-01-03,59.05,58.35,436480.0,58.7,BANKNIFTY09JAN2031500PE,14:00:00,4260
59.75,2020-01-03,59.75,58.35,436480.0,58.75,BANKNIFTY09JAN2031500PE,14:01:00,4620
60.25,2020-01-03,60.75,59.8,436480.0,59.8,BANKNIFTY09JAN2031500PE,14:02:00,10480
60.6,2020-01-03,61.0,60.0,437200.0,60.25,BANKNIFTY09JAN2031500PE,14:03:00,7200
61.95,2020-01-03,63.3,60.6,437200.0,60.6,BANKNIFTY09JAN2031500PE,14:04:00,22680
61.5,2020-01-03,62.6,61.2,437200.0,62.0,BANKNIFTY09JAN2031500PE,14:05:00,14820
61.35,2020-01-03,61.6,59.6,442320.0,61.2,BANKNIFTY09JAN2031500PE,14:06:00,15820
62.3,2020-01-03,62.7,60.7,442320.0,61.25,BANKNIFTY09JAN2031500PE,14:07:00,13000
61.9,2020-01-03,62.75,61.25,442320.0,62.5,BANKNIFTY09JAN2031500PE,14:08:00,15700
59.6,2020-01-03,62.05,57.9,438820.0,62.0,BANKNIFTY09JAN2031500PE,14:09:00,36760
60.55,2020-01-03,61.0,59.3,438820.0,59.6,BANKNIFTY09JAN2031500PE,14:10:00,11900
60.15,2020-01-03,60.75,59.7,438820.0,60.5,BANKNIFTY09JAN2031500PE,14:11:00,12460
60.05,2020-01-03,60.65,58.45,428220.0,60.55,BANKNIFTY09JAN2031500PE,14:12:00,12920
62.5,2020-01-03,62.55,60.0,428220.0,60.05,BANKNIFTY09JAN2031500PE,14:13:00,15720
65.3,2020-01-03,66.9,62.0,428220.0,62.8,BANKNIFTY09JAN2031500PE,14:14:00,83600
67.5,2020-01-03,70.0,65.3,407720.0,65.3,BANKNIFTY09JAN2031500PE,14:15:00,56340
65.3,2020-01-03,68.9,63.65,407720.0,67.55,BANKNIFTY09JAN2031500PE,14:16:00,51120
63.55,2020-01-03,65.6,63.55,407720.0,65.35,BANKNIFTY09JAN2031500PE,14:17:00,22860
64.15,2020-01-03,64.25,62.25,408720.0,63.7,BANKNIFTY09JAN2031500PE,14:18:00,24600
63.0,2020-01-03,64.45,63.0,408720.0,64.15,BANKNIFTY09JAN2031500PE,14:19:00,12040
60.85,2020-01-03,63.45,60.6,408720.0,63.0,BANKNIFTY09JAN2031500PE,14:20:00,10860
61.9,2020-01-03,62.1,60.05,416980.0,60.95,BANKNIFTY09JAN2031500PE,14:21:00,18280
62.9,2020-01-03,63.0,61.35,416980.0,61.9,BANKNIFTY09JAN2031500PE,14:22:00,9300
64.8,2020-01-03,64.8,62.9,416980.0,62.9,BANKNIFTY09JAN2031500PE,14:23:00,11040
65.2,2020-01-03,67.45,64.25,419900.0,64.4,BANKNIFTY09JAN2031500PE,14:24:00,30040
67.95,2020-01-03,68.0,64.95,419900.0,65.2,BANKNIFTY09JAN2031500PE,14:25:00,18540
68.0,2020-01-03,71.45,67.3,419900.0,67.6,BANKNIFTY09JAN2031500PE,14:26:00,42260
66.45,2020-01-03,67.55,65.0,419360.0,67.4,BANKNIFTY09JAN2031500PE,14:27:00,22340
65.0,2020-01-03,67.0,64.1,419360.0,66.4,BANKNIFTY09JAN2031500PE,14:28:00,16920
64.7,2020-01-03,65.6,63.55,419360.0,65.0,BANKNIFTY09JAN2031500PE,14:29:00,16420
67.25,2020-01-03,67.5,64.55,423960.0,64.6,BANKNIFTY09JAN2031500PE,14:30:00,9620
66.2,2020-01-03,68.0,65.85,423960.0,67.15,BANKNIFTY09JAN2031500PE,14:31:00,9960
65.9,2020-01-03,66.85,65.85,423960.0,66.45,BANKNIFTY09JAN2031500PE,14:32:00,6420
64.1,2020-01-03,66.3,62.95,419900.0,66.2,BANKNIFTY09JAN2031500PE,14:33:00,10600
64.65,2020-01-03,65.6,63.6,419900.0,64.1,BANKNIFTY09JAN2031500PE,14:34:00,7500
63.05,2020-01-03,65.55,62.35,419900.0,65.0,BANKNIFTY09JAN2031500PE,14:35:00,7420
60.25,2020-01-03,64.05,59.15,423720.0,63.45,BANKNIFTY09JAN2031500PE,14:36:00,47000
60.0,2020-01-03,61.3,59.25,423720.0,60.0,BANKNIFTY09JAN2031500PE,14:37:00,25740
63.2,2020-01-03,63.5,59.75,423720.0,59.75,BANKNIFTY09JAN2031500PE,14:38:00,15960
62.85,2020-01-03,64.0,62.15,424540.0,63.2,BANKNIFTY09JAN2031500PE,14:39:00,13080
63.15,2020-01-03,63.7,62.1,424540.0,63.0,BANKNIFTY09JAN2031500PE,14:40:00,11520
64.65,2020-01-03,64.65,62.0,424540.0,63.15,BANKNIFTY09JAN2031500PE,14:41:00,13740
65.0,2020-01-03,65.1,63.9,421960.0,64.5,BANKNIFTY09JAN2031500PE,14:42:00,9480
64.65,2020-01-03,65.9,63.9,421960.0,64.95,BANKNIFTY09JAN2031500PE,14:43:00,6500
65.3,2020-01-03,66.05,64.65,421960.0,64.65,BANKNIFTY09JAN2031500PE,14:44:00,11840
